NAME,TYPE,UNIT,ADDR,RAW_ZERO,RAW_FULL,ENG_ZERO,ENG_FULL,ENG_UNITS,FORMAT,COMMENT,EDITCODE,LINKED,OID,REF1,REF2,DEADBAND,CUSTOM,TAGGENLINK,CLUSTER,EQUIP,ITEM,HISTORIAN,CUSTOM1,CUSTOM2,CUSTOM3,CUSTOM4,CUSTOM5,CUSTOM6,CUSTOM7,CUSTOM8,WRITEROLES,GUID
LW_Sub1_QualityTag,DIGITAL,LW_Sub1_CLX,QualityTag,,,,,,,Quality Check Tag,,,0x0012c630,,,,,,LW1_Cl,LW1.Sub1,,,LW903 Sub1,,,,,,,,,d3e9f5e1-52db-4af3-7388-853f561990d3
LW_Sub1_ProdTrip,DIGITAL,LW_Sub1_CLX,ProdTrip,,,,,,,Conveyor Tripped,,,0x0012c640,,,,,,LW1_Cl,LW1.Sub1,,,LW903 Sub1,,Alm_Prod,1,,,,,,a70d584e-2d30-4599-d396-b3a6063d2674
LW_Sub1_TripOK,DIGITAL,LW_Sub1_CLX,TripOK,,,,,,,Trips Healthy,,,0x0012c650,,,,,,LW1_Cl,LW1.Sub1,,,LW903 Sub1,,,1,,,,,,742e916d-e8a8-4255-1594-da08dc908ef4
LW_Sub1_WarnOK,DIGITAL,LW_Sub1_CLX,WarnOK,,,,,,,Warnings Healthy,,,0x0012c660,,,,,,LW1_Cl,LW1.Sub1,,,LW903 Sub1,,,1,,,,,,8a1a7933-15c0-4ba5-0c91-6bf92c140dd4
LW_Sub1_InterlockOK,DIGITAL,LW_Sub1_CLX,InterlockOK,,,,,,,Interlocks Healthy,,,0x0012c670,,,,,,LW1_Cl,LW1.Sub1,,,LW903 Sub1,,,1,,,,,,efb59636-c533-41d6-56ba-f00f65d5ecea
LW_Sub1_Reset_C,DIGITAL,LW_Sub1_CLX,Reset_C,,,,,,,SCADA Reset Command,,,0x0012c680,,,,,,LW1_Cl,LW1.Sub1,,,LW903 Sub1,,Alm_Event,,,,,,,e7598120-238e-4136-1395-20de19c4b413
LW_Sub1_ResetPB,DIGITAL,LW_Sub1_CLX,ResetPB,,,,,,,Local Reset Push Button,,,0x0012c690,,,,,,LW1_Cl,LW1.Sub1,,,LW903 Sub1,,Alm_Event,,,,,,,1059eeea-8ae2-413a-2c93-c3a635ae4d75
LW_Sub1_Transformer_InterlockOK,DIGITAL,LW_Sub1_CLX,Transformer_InterlockOK,,,,,,,Transformer Interlocks Healthy,,,0x0012c6a0,,,,,,LW1_Cl,LW1.Sub1,,,LW903 Sub1,,,1,,,,,,6e8f67a6-971e-4240-b38a-993c294c3f67
LW_Sub1_Transformer_TripOK,DIGITAL,LW_Sub1_CLX,Transformer_TripOK,,,,,,,Transformer Trip Healthy,,,0x0012c6b0,,,,,,LW1_Cl,LW1.Sub1,,,LW903 Sub1,,,1,,,,,,4111279f-abcd-44f3-1080-7085566da2c6
LW_Sub1_Transformer_WarnOK,DIGITAL,LW_Sub1_CLX,Transformer_WarnOK,,,,,,,Transformer Warning Healthy,,,0x0012c6c0,,,,,,LW1_Cl,LW1.Sub1,,,LW903 Sub1,,,1,,,,,,62b4209e-ee63-4512-eba9-8f61df234951
