NAME,TYPE,UNIT,ADDR,RAW_ZERO,RAW_FULL,ENG_ZERO,ENG_FULL,ENG_UNITS,FORMAT,COMMENT,CLUSTER,EQUIP,ITEM,TAGGENLINK,LINKED,EDITCODE,HISTORIAN,CUSTOM1,CUSTOM2,CUSTOM3,CUSTOM4,CUSTOM5,CUSTOM6,CUSTOM7,CUSTOM8,WRITEROLES,GUID,CUSTOM,DEADBAND,OID,REF1,REF2
"LW_Sub1_240V_NER_ISO_CLSD_I","DIGITAL","LW_Sub1_CLX","LW_SS01_240V_NER_ISO_CLSD_I","","","","","","","240V NER Isolator Closed","LW1_Cl","LW1.Sub1","","","","","","LW903 Sub1","","","","","","","","","3ac142b6-01d8-45fe-1986-b49e26184df4","","","0x0012c770","",""
"LW_Sub1_240V_NER_ISO_OPN_T","DIGITAL","LW_Sub1_CLX","LW_SS01_240V_NER_ISO_OPN_T","","","","","","","240V NER Switch Open","LW1_Cl","LW1.Sub1","","","","","","LW903 Sub1","","Alm_Trip","","","","","","","4ba894fd-ed88-43b8-f6b2-aeb3c5388de1","","","0x0012c780","",""
"LW_Sub1_BUEL_240V_ChFlt_T","DIGITAL","LW_Sub1_CLX","LW_SS01_BUEL_240V.Offscale","","","","","","","240V Backup Earth Leakage  - Channel Fault","LW1_Cl","LW1.Sub1","","","","","","LW903 Sub1","240V Backup Earth Leakage","Alm_Trip","","","","","","","03baff93-5293-4943-d7a6-a9e25e31cc50","","","0x0012d1c0","",""
"LW_Sub1_BUEL_240V_H_SP","REAL","LW_Sub1_CLX","LW_SS01_BUEL_240V.HighSP","0.0","120.0","0.0","120.0","%","#.#EU","240V Backup Earth Leakage  - High level Setpoint","LW1_Cl","LW1.Sub1","","","","","","LW903 Sub1","240V Backup Earth Leakage","","600","","","","","","fd2e43cc-1825-4b09-8891-50a95750b01a","","","0x0012d1a2","",""
"LW_Sub1_BUEL_240V_H_W","DIGITAL","LW_Sub1_CLX","LW_SS01_BUEL_240V.HighAlarm","","","","","","","240V Backup Earth Leakage  - High Level Alarm","LW1_Cl","LW1.Sub1","","","","","","LW903 Sub1","240V Backup Earth Leakage","Alm_Warning","","","","","","","99f5bf19-a37f-4497-d6b0-dea710c4d0a9","","","0x0012d1e0","",""
"LW_Sub1_BUEL_240V_HH_SP","REAL","LW_Sub1_CLX","LW_SS01_BUEL_240V.HighHighSP","0.0","120.0","0.0","120.0","%","#.#EU","240V Backup Earth Leakage  - High High Level Setpoint","LW1_Cl","LW1.Sub1","","","","","","LW903 Sub1","240V Backup Earth Leakage","","600","","","","","","191ca3d5-aff9-4d37-d39e-70ec11c8663a","","","0x0012d1a1","",""
"LW_Sub1_BUEL_240V_HH_T","DIGITAL","LW_Sub1_CLX","LW_SS01_BUEL_240V.HighHighAlarm","","","","","","","240V Backup Earth Leakage  - High High Level Alarm","LW1_Cl","LW1.Sub1","","","","","","LW903 Sub1","240V Backup Earth Leakage","Alm_Trip","","","","","","","543a8c5e-7a32-46d6-529a-847aa428da43","","","0x0012d1d0","",""
"LW_Sub1_BUEL_240V_L_SP","REAL","LW_Sub1_CLX","LW_SS01_BUEL_240V.LowSP","0.0","120.0","0.0","120.0","%","#.#EU","240V Backup Earth Leakage  - Low Level Setpoint","LW1_Cl","LW1.Sub1","","","","","","LW903 Sub1","240V Backup Earth Leakage","","600","","","","","","677f374e-508f-4617-c499-1decb92faa8b","","","0x0012d1a3","",""
"LW_Sub1_BUEL_240V_L_W","DIGITAL","LW_Sub1_CLX","LW_SS01_BUEL_240V.LowAlarm","","","","","","","240V Backup Earth Leakage  - Low Level Alarm","LW1_Cl","LW1.Sub1","","","","","","LW903 Sub1","240V Backup Earth Leakage","Alm_Warning","","","","","","","f2c422d4-62f9-44f9-dfb6-1edd394df42a","","","0x0012d1f0","",""
"LW_Sub1_BUEL_240V_LL_SP","REAL","LW_Sub1_CLX","LW_SS01_BUEL_240V.LowLowSP","0.0","120.0","0.0","120.0","%","#.#EU","240V Backup Earth Leakage  - Low Low Level Setpoint","LW1_Cl","LW1.Sub1","","","","","","LW903 Sub1","240V Backup Earth Leakage","","600","","","","","","312b7fd9-8a3e-4ef5-b192-d1043f67235e","","","0x0012d1a4","",""
